Peptide Quotation Sheet?2025?USD,,,,,,
SKU,Product Name,Specification,10 vials/box $ (Cost),10 vials/box $ (Sell),PS,
SM05,Semaglutide ,5mg*10vials,45.6,54.72,,
SM10,,10mg*10vials,66,79.2,,
SM15,,15mg*10vials,81.6,97.92,,
SM20,,20mg*10vials,103.2,123.84,,
SM30,,30mg *10vials,138,165.6,,
TR5,Tirzepatide,5mg*10vials,48,57.6,,
TR10,,10mg*10vials,69.6,83.52,,
TR15,,15mg*10vials,96,115.2,,
TR20,,20mg*10vials,114,136.8,,
TR30,,30mg *10vials,144,172.8,,
TR40,,40mg *10vials,186,223.2,,
TR50,,50mg *10vials,228,273.6,,
TR60,,60mg *10vials,270,324,,
RT5,Retatrutide,5mg*10vials,78,93.6,,
RT10,,10mg*10vials,120,144,,
RT15,,15mg*10vials,156,187.2,,
RT20,,20mg*10vials,192,230.4,,
RT30,,30mg*10vials,264,316.8,,
RT40,,40mg*10vials,318,381.6,,
RT50,,50mg*10vials,378,453.6,,
RT60,,60mg*10vials,432,518.4,,
CGL5,Cagrilintide,5mg*10vials,139.2,167.04,,
CGL10,,10mg*10vials,223.2,267.84,,
MDT5,Mazdutide,5mg*10vials,156,187.2,,
MDT10,,10mg*10vials,264,316.8,,
LC216,Lipo-C?Contains b12?,10ml*10vials,102,122.4,,
BC5, BPC 157,5mg*10vials,50.4,60.48,,
BC10,,10mg*10vials,73.2,87.84,,
BT5,TB  500,5mg*10vials,102,122.4,,
BT10,,10mg*10vials,177.6,213.12,,
BB10,BPC5+TB5,10mg*10vials,132,158.4,,
BB20,BPC10+TB10,20mg*10vials,252,302.4,,
CU50,GHK-CU,50mg*10vials,42,50.4,,
CU100,,100mg*10vials,50.4,60.48,,
ML10,MT-2 (Melanotan 2 Acetate),10mg*10vials,60,72,,
CND5,CJC-1295 Whitout DAC,5mg*10vials,99.6,119.52,,
CD5,CJC-1295 Whit DAC,5mg*10vials,192,230.4,,
IP5,Ipamorelin,5mg*10vials,57.6,69.12,,
IP10,,10mg*10vials,102,122.4,,
CP10,CJC-1295 Whitout DAC 5mg+Ipamorelin 5mg,10mg*10vials,138,165.6,,
5AD,AOD9604,5mg*10vials,138,165.6,,
P41,PT-141 ,10mg*10vials,78,93.6,,
GND2,Gonadorelin Acetate,2mg*10vials,42,50.4,,
DS5,DSIP ,5mg ,56.4,67.68,,
SK5,Selank,5mg*10vials,54,64.8,,
XA5,Semax,5mg*10vials,57.6,69.12,,
OT2,Oxytocin Acetate,2mg*10vials,75.6,90.72,,
ET10,Epithalon,10mg*10vials,62.4,74.88,,
